(Uphill) Downtown Berkeley BART Station: Shattuck @ Addison,(Uphill) Evans Hall: Hearst Mining Circle Side,(Uphill) Strawberry Canyon Recreational Area,(Uphill) UC Botanical Gardens,(Uphill) Lawrence Hall of Science,(Uphill) Space Sciences Lab/MSRI,(Downhill) Space Sciences Lab/MSRI,(Downhill) Lawrence Hall of Science,(Downhill) UC Botanical Gardens,(Downhill) Strawberry Canyon Recreational Area,(Downhill) Evans Hall: Hearst Mining Circle Side,(Downhill) Downtown Berkeley BART Station: Shattuck @ Addison
7:35 AM,7:40 AM,7:45 AM,7:47 AM,7:49 AM,7:51 AM,7:55 AM,7:57 AM,7:59 AM,8:01 AM,8:05 AM,
,8:10 AM,8:15 AM,8:17 AM,8:19 AM,8:21 AM,8:25 AM,8:27 AM,8:29 AM,8:31 AM,8:35 AM,
,8:40 AM,8:45 AM,8:47 AM,8:49 AM,8:51 AM,8:55 AM,8:57 AM,8:59 AM,9:01 AM,9:05 AM,
,9:10 AM,9:15 AM,9:17 AM,9:19 AM,9:21 AM,9:25 AM,9:27 AM,9:29 AM,9:31 AM,9:35 AM,
,9:40 AM,9:45 AM,9:47 AM,9:49 AM,9:51 AM,9:55 AM,9:57 AM,9:59 AM,10:01 AM,10:05 AM,
,10:10 AM,10:15 AM,10:17 AM,10:19 AM,10:21 AM,10:25 AM,10:27 AM,10:29 AM,10:31 AM,10:35 AM,
,10:40 AM,10:45 AM,10:47 AM,10:49 AM,10:51 AM,10:55 AM,10:57 AM,10:59 AM,11:01 AM,11:05 AM,
,11:10 AM,11:15 AM,11:17 AM,11:19 AM,11:21 AM,11:25 AM,11:27 AM,11:29 AM,11:31 AM,11:35 AM,
,11:40 AM,11:45 AM,11:47 AM,11:49 AM,11:51 AM,11:55 AM,11:57 AM,11:59 AM,12:01 PM,12:05 PM,
,12:10 PM,12:15 PM,12:17 PM,12:19 PM,12:21 PM,12:25 PM,12:27 PM,12:29 PM,12:31 PM,12:35 PM,
,12:40 PM,12:45 PM,12:47 PM,12:49 PM,12:51 PM,12:55 PM,12:57 PM,12:59 PM,1:01 PM,1:05 PM,
,1:10 PM,1:15 PM,1:17 PM,1:19 PM,1:21 PM,1:25 PM,1:27 PM,1:29 PM,1:31 PM,1:35 PM,
,1:40 PM,1:45 PM,1:47 PM,1:49 PM,1:51 PM,1:55 PM,1:57 PM,1:59 PM,2:01 PM,2:05 PM,
,2:10 PM,2:15 PM,2:17 PM,2:19 PM,2:21 PM,2:25 PM,2:27 PM,2:29 PM,2:31 PM,2:35 PM,
,2:40 PM,2:45 PM,2:47 PM,2:49 PM,2:51 PM,2:55 PM,2:57 PM,2:59 PM,3:01 PM,3:05 PM,
,3:10 PM,3:15 PM,3:17 PM,3:19 PM,3:21 PM,3:25 PM,3:27 PM,3:29 PM,3:31 PM,3:35 PM,
,3:40 PM,3:45 PM,3:47 PM,3:49 PM,3:51 PM,3:55 PM,3:57 PM,3:59 PM,4:01 PM,4:05 PM,
,4:10 PM,4:15 PM,4:17 PM,4:19 PM,4:21 PM,4:25 PM,4:27 PM,4:29 PM,4:31 PM,4:35 PM,
,4:40 PM,4:45 PM,4:47 PM,4:49 PM,4:51 PM,4:55 PM,4:57 PM,4:59 PM,5:01 PM,5:05 PM,
,5:10 PM,5:15 PM,5:17 PM,5:19 PM,5:21 PM,5:25 PM,5:27 PM,5:29 PM,5:31 PM,5:35 PM,
,5:40 PM,5:45 PM,5:47 PM,5:49 PM,5:51 PM,5:55 PM,5:57 PM,5:59 PM,6:01 PM,6:05 PM,
,6:10 PM,6:15 PM,6:17 PM,6:19 PM,6:21 PM,6:25 PM,6:27 PM,6:29 PM,6:31 PM,6:35 PM,6:40 PM
6:55 PM,7:00 PM,7:05 PM,7:07 PM,7:09 PM,7:11 PM,7:15 PM,7:17 PM,7:19 PM,7:21 PM,7:25 PM,7:30 PM