library_name,phone_number
Anthropology Library,510-642-2400
Art History/Classics Library,510-642-7361
BAMPFA Film Library & Study Center,510-642-1437
Bancroft Library/University Archives,510-642-6481
Berkeley Law Library,510-642-0621
"Bioscience, Natural Resources & Public Health Library",510-642-2531
Business Library,510-642-0370
Career Counseling Library,510-642-2367
CED Visual Resources Center,510-642-3439
Chemistry and Chemical Engineering Library,510-642-3753
Doe Library,510-642-6657
Earth Sciences & Map Library,510-642-2997
East Asian Library,510-642-2556
Engineering Library,510-642-3366
Environmental Design Library,510-643-7421
Ethnic Studies Library,510-643-1234
Institute of Governmental Studies Library,510-642-1472
Institute of Transportation Studies Library,510-642-3604
Main (Gardner) Stacks,510-643-4331
Mathematics Statistics Library,510-642-3381
Moffitt Library,510-642-5072
Morrison Library,510-642-3671
Music Library,510-642-2623
Newspapers & Microforms Library,510-642-2975
Optometry and Health Sciences Library,510-642-1020
Physics-Astronomy Library,510-642-3122
Robbins Collection Library,510-643-1211
Social Research Library,510-642-4432
South/Southeast Asia Library,510-642-3095